__MOL_ID__	ACTIVITY	moei3D_AM1_E	moei3D_AM1_Eele	moei3D_AM1_HF	moei3D_AM1_HOMO	moei3D_AM1_IP	moei3D_AM1_LUMO	moei3D_AM1_dipole	moei3D_ASA	moei3D_ASA+	moei3D_ASA-	moei3D_ASA_H	moei3D_ASA_P	moei3D_CASA+	moei3D_CASA-	moei3D_DASA	moei3D_DCASA	moei3D_E	moei3D_E_ang	moei3D_E_ele	moei3D_E_nb	moei3D_E_oop	moex3D_E_rnb	moex3D_E_rsol	moex3D_E_rvdw	moei3D_E_sol	moei3D_E_stb	moei3D_E_str	moei3D_E_strain	moei3D_E_tor	moei3D_E_vdw	moei3D_FASA+	moei3D_FASA-	moei3D_FASA_H	moei3D_FASA_P	moei3D_FCASA+	moei3D_FCASA-	moei3D_MNDO_E	moei3D_MNDO_Eele	moei3D_MNDO_HF	moei3D_MNDO_HOMO	moei3D_MNDO_IP	moei3D_MNDO_LUMO	moei3D_MNDO_dipole	moei3D_PM3_E	moei3D_PM3_Eele	moei3D_PM3_HF	moei3D_PM3_HOMO	moei3D_PM3_IP	moei3D_PM3_LUMO	moei3D_PM3_dipole	moei3D_VSA	moei3D_dens	moei3D_dipole	moex3D_dipoleX	moex3D_dipoleY	moex3D_dipoleZ	moei3D_glob	moei3D_pmi	moex3D_pmiX	moex3D_pmiY	moex3D_pmiZ	moei3D_rgyr	moei3D_std_dim1	moei3D_std_dim2	moei3D_std_dim3	moei3D_vol
3-13f	7.09	-96030	-735500	-34.82	-9.092	9.092	-0.3742	4.798	637.3	216.6	171.2	541.6	95.75	699.4	552.9	45.39	146.6	105.4	16.23	0.2202	92.44	0.0003427	0	0	0	-8.497	-0.3789	3.052	38.31	-5.905	92.22	0.3398	0.2686	0.8498	0.1502	1.097	0.8675	-96260	-727200	-29.11	-9.056	9.056	-0.497	4.209	-89730	-725900	-43.57	-9.117	9.117	-0.4462	4.653	386.1	0.9667	1.7	1.238	0.1079	1.16	0.05678	9048	632.8	6384	2031	5.088	4.903	1.349	1.168	361.5
3-13g	8.19	-96030	-735900	-36.21	-9.158	9.158	-0.291	3.434	639.8	219.5	171.1	541.3	98.56	708.9	552.6	48.42	156.4	107.4	16.18	1.972	94.44	0.0001541	-2.842e-14	-2.842e-14	0	-8.936	-0.505	3.196	38.52	-5.906	92.47	0.3431	0.2674	0.846	0.154	1.108	0.8636	-96260	-727500	-30.05	-9.174	9.174	-0.4486	3.168	-89730	-726500	-44.7	-9.097	9.097	-0.3684	3.335	386	0.9687	1.069	0.676	-0.1543	0.8135	0.06159	8942	560.5	6109	2272	5.058	4.876	1.346	1.21	360.8
3-13h	7.92	-96030	-745000	-33.85	-9.115	9.115	-0.3843	4.458	637.9	219.3	170.2	545.6	92.24	708.1	549.7	49.06	158.4	106.3	16.24	0.7503	93.2	0.0001557	1.421e-14	1.421e-14	0	-10.05	-0.3053	3.064	38.61	-5.905	92.45	0.3438	0.2668	0.8554	0.1446	1.11	0.8618	-96260	-736800	-28.4	-9.121	9.121	-0.509	3.963	-89730	-736100	-42.73	-9.079	9.079	-0.4485	4.253	387.1	0.9691	1.43	0.882	-0.2618	1.095	0.08677	8129	622.4	5323	2183	4.823	4.545	1.5	1.339	360.6
3-13i	7.07	-107000	-849900	-67.24	-9.011	9.011	-0.4594	4.794	675.4	225.7	149.1	560.5	114.9	776.9	513.1	76.65	263.8	128	21.11	5.216	100.9	0.000339	0	0	0	-7.488	-0.6165	3.39	39.8	3.176	95.71	0.3342	0.2207	0.8299	0.1701	1.15	0.7597	-107300	-840200	-66.72	-9.211	9.211	-0.619	3.922	-99940	-839000	-75.93	-9.105	9.105	-0.5048	4.741	417.1	0.9715	1.828	1.095	0.3081	1.431	0.06013	10160	1011	7046	2105	5.175	4.973	1.563	1.219	390.6
3-13j	7.6	-107000	-845500	-71.51	-9.068	9.068	-0.2104	4.305	677.1	229.8	150.9	546	131.1	791.1	519.4	78.91	271.6	144.1	21.01	1.709	125.9	0.0001657	-8.882e-16	-8.882e-16	0	-7.718	-0.7835	3.581	62.45	-5.587	124.2	0.3394	0.2229	0.8063	0.1937	1.168	0.7671	-107300	-834900	-67.78	-8.967	8.967	-0.3944	3.979	-99940	-834300	-80.73	-9.06	9.06	-0.2946	4.037	412.8	0.9841	1.373	0.7503	-0.4077	1.075	0.06454	10260	874.2	7052	2336	5.2	5.069	1.461	1.288	385.6
3-13k	7.44	-107000	-851400	-68.68	-8.761	8.761	-0.3453	5.135	677.2	227.5	150.1	551.8	125.3	783	516.6	77.38	266.3	143.8	21.05	1.125	125.5	0.0001478	0	0	0	-9.046	-0.5713	3.403	62.84	-5.588	124.4	0.3359	0.2217	0.8149	0.1851	1.156	0.7629	-107300	-843900	-60.38	-9.046	9.046	-0.5474	3.903	-99940	-841800	-77.93	-8.902	8.902	-0.4105	4.763	414.4	0.9857	1.738	0.9589	-0.5154	1.354	0.07443	9550	954.7	6347	2249	5.016	4.781	1.742	1.304	385
3-13l	7.7	-107000	-850900	-69.92	-9.139	9.139	-0.3607	3.813	679.2	228.1	157.7	551.9	127.3	785.2	542.7	70.44	242.4	125.6	21	3.17	98.65	0.0001553	0	0	0	-8.871	-0.6366	3.39	40.19	3.176	95.48	0.3358	0.2321	0.8125	0.1875	1.156	0.799	-107300	-841700	-67.46	-9.213	9.213	-0.578	2.878	-99940	-841200	-77.03	-9.094	9.094	-0.4606	3.149	417.9	0.9809	1.044	0.8217	-0.3502	0.5395	0.06747	9764	677.9	6433	2653	5.072	4.859	1.49	1.262	386.9
3-13m	7.89	-118000	-962800	-103.5	-9.158	9.158	-0.3782	5.336	719.9	225.1	139.8	575.4	144.5	822.6	510.9	85.29	311.7	146.8	25.84	6.308	106	0.0003227	-2.132e-14	-2.132e-14	0	-8.963	-0.9593	3.725	42.81	12.23	99.64	0.3127	0.1942	0.7993	0.2007	1.143	0.7097	-118300	-951900	-105.4	-9.169	9.169	-0.6233	4.388	-110100	-952400	-111.7	-9.128	9.128	-0.4709	4.886	448.4	0.9838	1.653	1.215	0.08476	1.117	0.07072	11490	2828	6503	2156	5.296	5.017	1.731	1.334	416.2
3-13n	5.48	-103400	-803200	-62.09	-8.752	8.752	-0.3495	2.913	655.1	222.3	155.3	527.6	127.5	765	534.5	66.97	230.5	146.9	20.89	3.084	128.1	0.0003375	-2.842e-14	-2.842e-14	0	-4.495	-0.6481	3.245	62.1	-4.71	125	0.3393	0.237	0.8054	0.1946	1.168	0.8159	-103700	-794300	-59.06	-9.079	9.079	-0.5523	3.724	-96490	-792400	-71.7	-8.926	8.926	-0.4245	3.06	390.4	0.9931	0.8943	-0.03613	-0.8225	-0.3492	0.04028	8881	7082	965.8	833.3	4.93	4.655	1.852	0.9343	368
3-13o	7.52	-110600	-892300	-72.78	-8.701	8.701	-0.31	3.431	704.9	220.8	148.4	580.4	124.5	760.2	510.9	72.42	249.3	147.6	21.06	4.368	131.7	0.0001424	0	0	0	-12.96	-0.6932	3.542	63.67	-7.978	127.3	0.3133	0.2106	0.8234	0.1766	1.078	0.7247	-110900	-879000	-71.69	-9.286	9.286	-0.7035	2.832	-103400	-878200	-82.93	-8.925	8.925	-0.4059	3.549	432.3	0.9756	1.275	-1.222	-0.2682	0.2462	0.1074	10570	1166	7530	1875	5.183	4.661	2.088	1.528	403.4
3-15a	6.32	-107000	-842700	-70.22	-8.696	8.696	-0.3116	2.371	683.2	228.5	154.6	550.3	132.9	786.3	532.3	73.82	254.1	139.2	20.97	0.2649	123.7	0.0003325	0	0	0	-6.538	-0.5847	3.397	60.14	-8.227	123.4	0.3344	0.2263	0.8055	0.1945	1.151	0.779	-107300	-833200	-69.92	-9.333	9.333	-0.6832	2.209	-99940	-831500	-79.29	-8.911	8.911	-0.4027	2.189	415.8	0.9819	0.6327	0.4612	0.4329	-0.01567	0.07186	10320	806.8	7209	2307	5.216	4.927	1.608	1.321	386.5
3-15b	7.03	-108500	-845600	-41.24	-8.717	8.717	-0.3317	2.9	684.5	238.1	160.4	536.6	148	1013	682.1	77.72	330.5	168.9	21.38	22.06	149.7	0.0003217	2.842e-14	2.842e-14	0	-11.32	-0.2969	3.291	62.7	-5.195	127.6	0.3479	0.2344	0.7839	0.2161	1.479	0.9965	-108800	-839400	-49.19	-9.044	9.044	-0.5341	4.016	-100600	-833900	-62.17	-8.922	8.922	-0.4154	2.813	410.7	1.002	0.8815	0.6994	0.4415	0.3049	0.07111	10270	774.8	7062	2432	5.195	4.932	1.612	1.315	379.9
3-16a	8.0	-110600	-896600	-75.95	-8.743	8.743	-0.3361	3.401	693.3	215.1	142.3	562.7	130.6	739	488.8	72.84	250.2	152	20.99	3.886	133.8	0.0004224	0	0	0	-11.29	-0.6926	3.554	63.66	-5.695	129.9	0.3103	0.2052	0.8117	0.1883	1.066	0.705	-110900	-885600	-72.76	-9.242	9.242	-0.7085	3.156	-103400	-884100	-87.1	-8.927	8.927	-0.4138	3.662	433.2	0.9804	1.204	0.9833	0.3666	0.591	0.06964	11120	818.6	8078	2227	5.317	5.006	1.639	1.321	401.4
3-16b	8.7	-110600	-890000	-76.63	-8.739	8.739	-0.3272	3.394	708.2	214.6	136.8	574.1	134.1	737.3	470	77.8	267.3	149.3	20.99	4.05	131.2	0.0003939	2.842e-14	2.842e-14	0	-11.55	-0.694	3.553	62.76	-5.672	127.1	0.303	0.1932	0.8106	0.1894	1.041	0.6637	-110900	-878600	-76.6	-9.259	9.259	-0.7148	3.053	-103400	-877900	-88.11	-8.925	8.925	-0.4112	3.506	433.9	0.9783	1.2	0.9369	0.4877	0.5695	0.06086	11590	784.8	7816	2992	5.427	5.19	1.659	1.28	402.2
3-16c	7.4	-110600	-885800	-75.84	-8.739	8.739	-0.3314	3.465	707.2	213.6	136.4	573.1	134.1	733.9	468.7	77.18	265.2	149.4	20.99	4.051	131.2	0.0003409	-5.684e-14	-5.684e-14	0	-11.56	-0.6939	3.552	62.75	-5.672	127.1	0.3021	0.1929	0.8104	0.1896	1.038	0.6628	-110900	-874600	-73.31	-9.031	9.031	-0.6485	2.074	-103400	-875700	-88.2	-8.92	8.92	-0.4082	3.561	433.7	0.9789	1.217	0.9183	0.5127	0.613	0.07292	11640	812.5	8123	2705	5.439	5.184	1.642	1.4	402
3-16d	6.8	-126300	-1022000	106.3	-10.08	10.08	-6.405	25.94	702	230.5	177.3	539.6	162.4	1128	690	53.24	437.7	167.5	21.48	4.897	141.5	0.0004129	0	0	0	-78.57	-0.5182	10.46	73.98	-5.418	136.6	0.3284	0.2526	0.7687	0.2313	1.607	0.983	-126700	-1002000	132	-9.964	9.964	-6.815	27.64	-117000	-1008000	94.02	-10.2	10.2	-6.376	25.33	437.2	1.046	6.463	1.538	5.102	-3.657	0.07482	12610	750	8573	3282	5.443	4.997	1.634	1.367	406.6
3-16e	8.4	-126300	-994000	129.4	-9.953	9.953	-6.742	29.9	720.9	233.3	186.6	532.4	188.5	1142	726.1	46.78	415.4	164.3	21.48	9.958	138.4	0.0003834	0	0	0	-77.17	-0.5178	10.46	68.71	-5.588	128.5	0.3237	0.2588	0.7385	0.2615	1.583	1.007	-126700	-983300	120.7	-10.01	10.01	-6.934	30.59	-117000	-979200	107.7	-10.15	10.15	-6.735	30.65	442.7	1.05	8.098	0.5535	6.953	-4.114	0.06161	14160	806.5	9353	4004	5.77	5.21	1.677	1.293	405.4
3-16f	7.0	-126300	-985200	108.5	-9.931	9.931	-6.711	32.21	719.6	233.4	185.1	531.4	188.2	1142	720.6	48.3	421.4	165.1	21.48	10.69	139.2	0.0003409	1.421e-14	1.421e-14	0	-75.77	-0.5177	10.47	68.38	-5.588	128.5	0.3244	0.2573	0.7385	0.2615	1.587	1.001	-126700	-975600	122.3	-10.13	10.13	-6.974	32.62	-117000	-973500	91.8	-10.15	10.15	-6.707	32.08	442.5	1.049	8.355	-0.2511	8.076	-2.128	0.0718	14340	906.8	10400	3026	5.805	5.223	1.668	1.4	405.5
3-16g	8.05	-108900	-890800	-128.4	-8.743	8.743	-0.3362	3.607	701.8	122.2	78.36	570.8	131	311.5	199.7	43.87	111.8	129.8	21.36	2.605	121.7	0.0001982	4.263e-14	4.263e-14	0	-9.48	-0.7309	4.102	61.86	-16.66	119.1	0.1742	0.1117	0.8133	0.1867	0.4439	0.2846	-109300	-879000	-117.1	-9.411	9.411	-0.7184	3.101	-102100	-880400	-130.3	-8.927	8.927	-0.4155	3.672	432.9	0.9645	1.217	0.9179	0.5123	0.6131	0.04628	11270	844.7	7536	2891	5.407	5.269	1.629	1.133	399.8
3-16h	6.74	-110600	-877200	-64.57	-8.75	8.75	-0.3398	3.618	717.5	229	165.3	582.6	134.9	788.3	569	63.71	219.3	147.1	21.05	7.491	132.1	0.0003283	0	0	0	-14.32	-0.604	3.543	59.99	-9.031	124.6	0.3192	0.2304	0.812	0.188	1.099	0.7931	-110900	-865600	-72.46	-9.283	9.283	-0.7107	3.371	-103400	-866000	-84.84	-8.934	8.934	-0.4209	3.716	436.5	0.9756	1.18	1.11	-0.04309	-0.3975	0.03775	13030	741.4	2325	9964	5.754	5.457	1.639	1.06	403.4
3-17	6.52	-107600	-861700	-86.06	-8.406	8.406	0.4393	2.199	696.3	238.4	149.6	552.9	143.4	880.9	552.9	88.76	328	147.6	20.39	3.204	128.8	0.0003336	-7.105e-15	-7.105e-15	0	-14.32	-0.7323	3.558	60.24	-4.407	125.6	0.3423	0.2149	0.794	0.206	1.265	0.7941	-108000	-852900	-80.68	-8.841	8.841	-0.04004	2.249	-100700	-855400	-88.01	-8.596	8.596	0.2943	2.82	417.8	0.9726	0.8777	0.7526	-0.3533	-0.2813	0.06939	10160	7974	930.2	1255	5.16	4.787	1.669	1.261	392.2
3-18	5.36	-99590	-789000	-14.15	-8.166	8.166	0.0035	1.58	675.4	233.8	143.8	573.1	102.3	777.8	478.5	89.98	299.3	141.3	27.78	3.289	123	0.0003434	-7.105e-15	-7.105e-15	0	-5.598	-0.6494	3.36	61.63	-12.22	119.8	0.3462	0.213	0.8486	0.1514	1.152	0.7085	-99850	-779100	-18.57	-8.459	8.459	-0.3278	1.915	-93150	-776900	-24.27	-8.424	8.424	-0.1448	1.687	405.7	0.95	0.6509	0.4454	-0.4436	0.1687	0.08595	8807	5060	1380	2367	4.922	4.411	2.136	1.293	382.6
3-9	6.82	-85050	-644300	3.354	-9.178	9.178	-0.3475	3.671	596.4	213.3	185.1	541.8	54.66	643.4	558.6	28.12	84.83	73.44	11.47	4.461	65.43	0.0001534	0	0	0	-7.065	-0.06275	2.823	14.16	-6.223	60.97	0.3576	0.3104	0.9083	0.09165	1.079	0.9366	-85220	-637300	9.42	-9.291	9.291	-0.4643	3.246	-79520	-635500	-6.077	-9.114	9.114	-0.4196	3.654	360.2	0.9465	1.334	0.9564	0.0558	0.9283	0.07643	6893	553.2	4844	1496	4.645	4.333	1.385	1.198	337.5
